"","district","weekstartdate","anycases","totalcases","est"
"19856","yankton",2011-08-21,0,0,0.0653740918715763
"19857","yankton",2011-08-28,0,0,0.0533518741280658
"19858","yankton",2011-09-04,0,0,0.0459539567802189
"19859","yankton",2011-09-11,0,0,0.0269505808624405
"19860","yankton",2011-09-18,0,0,0.0136428078455563
"19861","yankton",2011-09-25,0,0,0.00580647441901785
"19862","yankton",2011-10-02,0,0,0.00263436636149056
"19863","yankton",2011-10-09,0,0,0.00170965915944485
"19864","yankton",2011-10-16,0,0,0.000920495743980146
"19865","sanborn",2011-03-27,0,0,7.54272503260592e-07
"19866","hutchinson",2011-09-25,0,0,0.00859724586370375
"19867","hutchinson",2011-10-02,0,0,0.0040491792486494
"19868","hutchinson",2011-10-09,0,0,0.00266349606699542
"19869","hutchinson",2011-10-16,0,0,0.00143507466202397
"19870","hutchinson",2011-10-30,0,0,0.000245610765537999
"19871","hutchinson",2011-11-06,0,0,0.00010732924802929
"19872","hutchinson",2011-11-13,0,0,4.6926223490475e-05
"19873","davison",2011-01-16,0,0,5.18799590207716e-08
"19874","hanson",2011-01-16,0,0,1.14017053680531e-08
"19875","hanson",2011-01-23,0,0,6.6210299138527e-09
"19876","hanson",2011-01-30,0,0,7.01594878196887e-09
"19877","hutchinson",2011-12-18,0,0,7.51882829153804e-07
"19878","turner",2011-04-24,0,0,3.75990260760241e-05
"19879","hanson",2011-02-27,0,0,1.99715545821032e-08
"19880","turner",2011-05-08,0,0,0.000127377793620647
"19881","sanborn",2011-01-09,0,0,3.00500715775814e-08
"19882","hanson",2011-03-27,0,0,5.22479931796921e-07
"19883","hanson",2011-04-03,0,0,1.27515490114538e-06
"19884","hanson",2011-04-10,0,0,4.06926690141738e-06
"19885","hanson",2011-04-17,0,0,9.00186928066521e-06
"19886","sanborn",2011-02-06,0,0,9.75660835163744e-09
"19887","hanson",2011-05-01,0,0,3.22919857928304e-05
"19888","davison",2011-08-28,0,0,0.142112847104271
"19889","davison",2011-02-06,0,0,2.77479868204822e-08
"19890","hanson",2011-05-08,0,0,5.96627439565403e-05
"19891","davison",2011-09-18,0,0,0.039568616113765
"19892","davison",2011-09-25,0,0,0.0179358254194956
"19893","sanborn",2011-01-02,0,0,5.33543507451673e-08
